alert_id,rule_id,customer_key,date_key,score,score_gbm,is_true_positive,split,priority,score_percentile,tier,reason_1,reason_2,reason_3,top_mitigant,reason_summary
R001-12-112,R001,12,112,3.330509068287047e-07,3.457873449537206e-07,0,train,deferred,0.0239,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,90-day near-threshold cash deposit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 90-day near-threshold cash deposit count
R001-355-94,R001,355,94,0.9941903864243428,0.9999998147067602,1,train,review,0.9826,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-355-99,R001,355,99,0.995165258866502,0.999999916942606,1,train,review,0.9833,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-355-111,R001,355,111,0.9970407010578296,0.999999893491127,1,train,review,0.9861,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-450-94,R001,450,94,0.0170483691455193,1.3621518287864343e-06,0,train,review,0.7077,T2_five_day,share of 30-day credits arriving as cash,cash-intensive business type,home province BC,7-day high-risk jurisdiction count,share of 30-day credits arriving as cash; cash-intensive business type; home province BC
R001-450-108,R001,450,108,0.3824246606290478,8.114962694625168e-07,0,train,review,0.9054,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-450-109,R001,450,109,0.2542806635706083,1.2073064102590369e-06,0,train,review,0.8851,T2_five_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-450-111,R001,450,111,0.253673184402388,1.626056405807128e-06,0,train,review,0.885,T2_five_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-518-104,R001,518,104,0.8986109604415613,4.612934390675352e-06,0,train,review,0.9541,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-518-107,R001,518,107,0.8479212718395533,3.0880518907877244e-06,0,train,review,0.9471,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-518-109,R001,518,109,0.8496328368630305,1.8810035996591912e-06,0,train,review,0.9472,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-518-117,R001,518,117,0.9113416704270432,5.73204619307102e-06,0,train,review,0.9563,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-518-118,R001,518,118,0.908396978186173,7.498275409737369e-06,0,train,review,0.9559,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-518-124,R001,518,124,0.9598060839668224,1.8681689697682635e-05,0,valid,review,0.9662,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; 30-day cash credit volume
R001-568-33,R001,568,33,4.729645872433014e-05,2.4477265386499853e-08,0,train,review,0.1757,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-568-46,R001,568,46,0.000202145029261,2.2829134508149367e-07,0,train,review,0.2814,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-695-141,R001,695,141,0.9595809670842278,1.737736537001697e-05,0,valid,review,0.9661,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-695-144,R001,695,144,0.961071027468156,2.1757865674991186e-05,0,valid,review,0.9665,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-695-156,R001,695,156,0.9302494282671114,1.4349657666694884e-05,0,holdout,review,0.9591,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-720-107,R001,720,107,0.4735901574211137,2.964066779564605e-06,0,train,review,0.9171,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-720-109,R001,720,109,0.8399176006931816,2.331401824948388e-06,0,train,review,0.946,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-720-111,R001,720,111,0.7510257054322207,7.769740469851335e-07,0,train,review,0.9389,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-720-121,R001,720,121,0.788493014451236,2.338511503684124e-06,0,valid,review,0.9418,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-720-122,R001,720,122,0.8468234472836875,2.1297189837988296e-06,0,valid,review,0.947,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-720-123,R001,720,123,0.8539246174523727,3.69120464385256e-06,0,valid,review,0.9479,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-720-127,R001,720,127,0.858337674360348,4.688907653782281e-06,0,valid,review,0.9483,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-720-129,R001,720,129,0.8645695752319924,3.365160665115593e-06,0,valid,review,0.9493,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-720-131,R001,720,131,0.8586795179904442,4.712465967991186e-06,0,valid,review,0.9483,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; 30-day cash credit volume
R001-727-37,R001,727,37,4.241488093408092e-05,3.1879271360694284e-08,0,train,review,0.1691,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-727-40,R001,727,40,2.017351402607735e-05,3.0415097705855014e-08,0,train,deferred,0.1276,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-727-50,R001,727,50,2.552829956268285e-06,7.399392570073818e-08,0,train,deferred,0.0576,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,90-day near-threshold cash deposit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 90-day near-threshold cash deposit count
R001-727-56,R001,727,56,6.371501631205274e-06,4.3783468102314664e-08,0,train,deferred,0.0824,T3_thirty_day,90-day near-threshold cash deposit count,30-day cash credit volume,share of 30-day credits arriving as cash,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; 30-day cash credit volume; share of 30-day credits arriving as cash
R001-727-57,R001,727,57,8.209612294985198e-06,6.416918029384289e-08,0,train,deferred,0.0915,T3_thirty_day,90-day near-threshold cash deposit count,30-day cash credit volume,share of 30-day credits arriving as cash,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; 30-day cash credit volume; share of 30-day credits arriving as cash
R001-755-2,R001,755,2,0.0001303872538712,9.438229147909065e-08,0,train,review,0.2463,T3_thirty_day,share of 30-day credits arriving as cash,30-day largest transaction,7-day high-risk jurisdiction count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day largest transaction; 7-day high-risk jurisdiction count
R001-755-69,R001,755,69,0.0012711201999667,5.799568478380591e-08,0,train,review,0.4522,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-755-96,R001,755,96,0.0012410130526323,3.0641187911104696e-07,0,train,review,0.4494,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-763-49,R001,763,49,0.0044685575551748,9.549903381083828e-07,0,train,review,0.5793,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-763-166,R001,763,166,4.470283053102932e-06,3.0013751148515895e-08,0,holdout,deferred,0.0715,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,90-day transaction count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 90-day transaction count
R001-776-99,R001,776,99,0.0720362884990277,1.4404382558395771e-06,0,train,review,0.8134,T2_five_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,occupation or business type consulting,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-776-104,R001,776,104,0.2025055798467593,1.308002334964628e-06,0,train,review,0.8742,T2_five_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-776-106,R001,776,106,0.2753136445367417,2.8784117904701275e-06,0,train,review,0.8892,T2_five_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-776-107,R001,776,107,0.360006388592103,2.790277317880548e-06,0,train,review,0.903,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-776-113,R001,776,113,0.4432294345406534,1.6366392334475771e-06,0,train,review,0.9134,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-776-115,R001,776,115,0.3856073434564367,1.568566801885864e-06,0,train,review,0.906,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-776-119,R001,776,119,0.3852917242991304,1.972634690980256e-06,0,train,review,0.9059,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-776-123,R001,776,123,0.4733594973112897,5.124824501877119e-06,0,valid,review,0.917,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-793-71,R001,793,71,0.0112864562148111,7.614536214004026e-08,0,train,review,0.668,T2_five_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-793-158,R001,793,158,0.0054654306388618,1.090155385750234e-07,0,holdout,review,0.6002,T2_five_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,90-day transaction count,cash-intensive business type,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; 90-day transaction count
R001-810-110,R001,810,110,0.4869484276846145,4.887334118932544e-06,0,train,review,0.9182,T1_same_day,90-day total value,share of 30-day credits arriving as cash,90-day debit value,90-day wire value,90-day total value; share of 30-day credits arriving as cash; 90-day debit value
R001-810-111,R001,810,111,0.7759004742275774,6.169580445156906e-06,0,train,review,0.9408,T1_same_day,90-day total value,share of 30-day credits arriving as cash,90-day debit value,90-day wire value,90-day total value; share of 30-day credits arriving as cash; 90-day debit value
R001-840-110,R001,840,110,0.002242739852629,7.123161009090621e-08,0,train,review,0.5109,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,90-day transaction count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 90-day transaction count
R001-840-111,R001,840,111,0.001023824521995,7.54029124812856e-08,0,train,review,0.4306,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,90-day transaction count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 90-day transaction count
R001-859-99,R001,859,99,0.0007714953804603,3.0995332701819174e-08,0,train,review,0.4008,T3_thirty_day,30-day cash credit volume,90-day near-threshold cash deposit count,90-day total value,cash-intensive business type,30-day cash credit volume; 90-day near-threshold cash deposit count; 90-day total value
R001-868-19,R001,868,19,0.8522301179530685,0.9999992908656552,1,train,review,0.9474,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-868-20,R001,868,20,0.9558938650216802,0.99999971325284,1,train,review,0.9652,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-868-23,R001,868,23,0.9569256881187946,0.9999997377092268,1,train,review,0.9655,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-868-29,R001,868,29,0.9490236220380184,0.9999996730285836,1,train,review,0.9634,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-868-30,R001,868,30,0.9418622948266764,0.9999996774680588,1,train,review,0.9615,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-868-32,R001,868,32,0.9393735753835776,0.9999999095932643,1,train,review,0.9607,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-868-39,R001,868,39,0.9809029551228317,0.9999998720677472,1,train,review,0.9742,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-868-44,R001,868,44,0.9784193010621052,0.9999996980065818,1,train,review,0.9728,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-877-34,R001,877,34,0.943179628324922,0.9999996312617986,1,train,review,0.9618,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-877-44,R001,877,44,0.9691685686763954,0.9999997850266038,1,train,review,0.9695,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-877-45,R001,877,45,0.963886996657064,0.99999982602239,1,train,review,0.9677,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-877-46,R001,877,46,0.9615258375512972,0.9999997985453076,1,train,review,0.9667,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-877-54,R001,877,54,0.9667379514395354,0.9999998545750592,1,train,review,0.9685,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-877-57,R001,877,57,0.9719168996799684,0.999999874914867,1,train,review,0.9706,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-877-59,R001,877,59,0.9480315472051192,0.9999998579274152,1,train,review,0.9631,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-877-60,R001,877,60,0.9432471029069543,0.9999998731289678,1,train,review,0.9618,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-877-62,R001,877,62,0.9170616830670006,0.9999997140455952,1,train,review,0.9571,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-901-94,R001,901,94,6.925614077124013e-05,1.0590886845343979e-07,0,train,review,0.1991,T3_thirty_day,30-day cash credit volume,share of 30-day credits arriving as cash,30-day cash credit count,cash-intensive business type,30-day cash credit volume; share of 30-day credits arriving as cash; 30-day cash credit count
R001-901-141,R001,901,141,0.0010750992318713,2.299904391604272e-07,0,valid,review,0.435,T3_thirty_day,30-day cash credit volume,90-day total value,90-day near-threshold cash deposit count,cash-intensive business type,30-day cash credit volume; 90-day total value; 90-day near-threshold cash deposit count
R001-901-159,R001,901,159,0.0001044890250805,2.67292334396658e-07,0,holdout,review,0.2291,T3_thirty_day,90-day total value,90-day near-threshold cash deposit count,90-day transaction count,cash-intensive business type,90-day total value; 90-day near-threshold cash deposit count; 90-day transaction count
