date_key,calendar_date,year,month,day_of_week,is_weekend,month_name
48,2025-10-19,2025,10,0,1,Oct
49,2025-10-20,2025,10,1,0,Oct
50,2025-10-21,2025,10,2,0,Oct
51,2025-10-22,2025,10,3,0,Oct
52,2025-10-23,2025,10,4,0,Oct
53,2025-10-24,2025,10,5,0,Oct
54,2025-10-25,2025,10,6,1,Oct
55,2025-10-26,2025,10,0,1,Oct
56,2025-10-27,2025,10,1,0,Oct
57,2025-10-28,2025,10,2,0,Oct
58,2025-10-29,2025,10,3,0,Oct
59,2025-10-30,2025,10,4,0,Oct
60,2025-10-31,2025,10,5,0,Oct
61,2025-11-01,2025,11,6,1,Nov
62,2025-11-02,2025,11,0,1,Nov
63,2025-11-03,2025,11,1,0,Nov
64,2025-11-04,2025,11,2,0,Nov
65,2025-11-05,2025,11,3,0,Nov
66,2025-11-06,2025,11,4,0,Nov
67,2025-11-07,2025,11,5,0,Nov
68,2025-11-08,2025,11,6,1,Nov
69,2025-11-09,2025,11,0,1,Nov
70,2025-11-10,2025,11,1,0,Nov
71,2025-11-11,2025,11,2,0,Nov
72,2025-11-12,2025,11,3,0,Nov
73,2025-11-13,2025,11,4,0,Nov
74,2025-11-14,2025,11,5,0,Nov
75,2025-11-15,2025,11,6,1,Nov
76,2025-11-16,2025,11,0,1,Nov
77,2025-11-17,2025,11,1,0,Nov
78,2025-11-18,2025,11,2,0,Nov
79,2025-11-19,2025,11,3,0,Nov
80,2025-11-20,2025,11,4,0,Nov
81,2025-11-21,2025,11,5,0,Nov
82,2025-11-22,2025,11,6,1,Nov
83,2025-11-23,2025,11,0,1,Nov
84,2025-11-24,2025,11,1,0,Nov
85,2025-11-25,2025,11,2,0,Nov
86,2025-11-26,2025,11,3,0,Nov
87,2025-11-27,2025,11,4,0,Nov
88,2025-11-28,2025,11,5,0,Nov
89,2025-11-29,2025,11,6,1,Nov
90,2025-11-30,2025,11,0,1,Nov
91,2025-12-01,2025,12,1,0,Dec
92,2025-12-02,2025,12,2,0,Dec
93,2025-12-03,2025,12,3,0,Dec
94,2025-12-04,2025,12,4,0,Dec
95,2025-12-05,2025,12,5,0,Dec
96,2025-12-06,2025,12,6,1,Dec
97,2025-12-07,2025,12,0,1,Dec
98,2025-12-08,2025,12,1,0,Dec
99,2025-12-09,2025,12,2,0,Dec
100,2025-12-10,2025,12,3,0,Dec
101,2025-12-11,2025,12,4,0,Dec
102,2025-12-12,2025,12,5,0,Dec
103,2025-12-13,2025,12,6,1,Dec
104,2025-12-14,2025,12,0,1,Dec
105,2025-12-15,2025,12,1,0,Dec
106,2025-12-16,2025,12,2,0,Dec
107,2025-12-17,2025,12,3,0,Dec
108,2025-12-18,2025,12,4,0,Dec
109,2025-12-19,2025,12,5,0,Dec
110,2025-12-20,2025,12,6,1,Dec
111,2025-12-21,2025,12,0,1,Dec
112,2025-12-22,2025,12,1,0,Dec
113,2025-12-23,2025,12,2,0,Dec
114,2025-12-24,2025,12,3,0,Dec
115,2025-12-25,2025,12,4,0,Dec
116,2025-12-26,2025,12,5,0,Dec
117,2025-12-27,2025,12,6,1,Dec
118,2025-12-28,2025,12,0,1,Dec
119,2025-12-29,2025,12,1,0,Dec
120,2025-12-30,2025,12,2,0,Dec
121,2025-12-31,2025,12,3,0,Dec
122,2026-01-01,2026,1,4,0,Jan
123,2026-01-02,2026,1,5,0,Jan
124,2026-01-03,2026,1,6,1,Jan
125,2026-01-04,2026,1,0,1,Jan
126,2026-01-05,2026,1,1,0,Jan
127,2026-01-06,2026,1,2,0,Jan
128,2026-01-07,2026,1,3,0,Jan
129,2026-01-08,2026,1,4,0,Jan
130,2026-01-09,2026,1,5,0,Jan
131,2026-01-10,2026,1,6,1,Jan
132,2026-01-11,2026,1,0,1,Jan
133,2026-01-12,2026,1,1,0,Jan
134,2026-01-13,2026,1,2,0,Jan
135,2026-01-14,2026,1,3,0,Jan
136,2026-01-15,2026,1,4,0,Jan
137,2026-01-16,2026,1,5,0,Jan
138,2026-01-17,2026,1,6,1,Jan
139,2026-01-18,2026,1,0,1,Jan
140,2026-01-19,2026,1,1,0,Jan
141,2026-01-20,2026,1,2,0,Jan
142,2026-01-21,2026,1,3,0,Jan
143,2026-01-22,2026,1,4,0,Jan
144,2026-01-23,2026,1,5,0,Jan
145,2026-01-24,2026,1,6,1,Jan
146,2026-01-25,2026,1,0,1,Jan
147,2026-01-26,2026,1,1,0,Jan
148,2026-01-27,2026,1,2,0,Jan
149,2026-01-28,2026,1,3,0,Jan
150,2026-01-29,2026,1,4,0,Jan
151,2026-01-30,2026,1,5,0,Jan
152,2026-01-31,2026,1,6,1,Jan
153,2026-02-01,2026,2,0,1,Feb
154,2026-02-02,2026,2,1,0,Feb
155,2026-02-03,2026,2,2,0,Feb
156,2026-02-04,2026,2,3,0,Feb
157,2026-02-05,2026,2,4,0,Feb
158,2026-02-06,2026,2,5,0,Feb
159,2026-02-07,2026,2,6,1,Feb
160,2026-02-08,2026,2,0,1,Feb
161,2026-02-09,2026,2,1,0,Feb
162,2026-02-10,2026,2,2,0,Feb
163,2026-02-11,2026,2,3,0,Feb
164,2026-02-12,2026,2,4,0,Feb
165,2026-02-13,2026,2,5,0,Feb
166,2026-02-14,2026,2,6,1,Feb
167,2026-02-15,2026,2,0,1,Feb
168,2026-02-16,2026,2,1,0,Feb
169,2026-02-17,2026,2,2,0,Feb
170,2026-02-18,2026,2,3,0,Feb
171,2026-02-19,2026,2,4,0,Feb
172,2026-02-20,2026,2,5,0,Feb
173,2026-02-21,2026,2,6,1,Feb
174,2026-02-22,2026,2,0,1,Feb
175,2026-02-23,2026,2,1,0,Feb
176,2026-02-24,2026,2,2,0,Feb
177,2026-02-25,2026,2,3,0,Feb
178,2026-02-26,2026,2,4,0,Feb
179,2026-02-27,2026,2,5,0,Feb
