txn_id,customer_key,date_key,calendar_date,amount_cad,direction,channel,counterparty_country,counterparty_id,hour_of_day,is_high_risk
T000093411,25,36,2025-10-07,32.59,debit,pos,CA,P0032626,18,0
T000094686,25,37,2025-10-08,126.71,credit,emt,CA,P0005663,10,0
T000096007,25,37,2025-10-08,141.67,debit,preauth,CA,P0017409,16,0
T000096291,25,37,2025-10-08,61.53,debit,pos,CA,P0036430,17,0
T000101099,25,39,2025-10-10,7.21,debit,pos,CA,P0009856,12,0
T000104997,25,41,2025-10-12,40.26,debit,pos,CA,P0005727,11,0
T000109271,25,43,2025-10-14,601.18,debit,emt,CA,P0053734,7,0
T000111357,25,43,2025-10-14,38.41,debit,pos,CA,P0009025,17,0
T000117717,25,45,2025-10-16,157.45,debit,preauth,CA,P0019415,19,0
T000118125,25,46,2025-10-17,144.44,credit,pos,CA,P0017195,7,0
T000120526,25,46,2025-10-17,402.4,credit,cash,CA,P0022854,18,0
T000123327,25,48,2025-10-19,25.94,debit,pos,CA,P0022198,13,0
T000138571,25,53,2025-10-24,35.57,debit,pos,CA,P0002868,19,0
T000141514,25,55,2025-10-26,58109.47,credit,cheque,CA,P0046825,16,0
T000142796,25,56,2025-10-27,873.26,debit,pos,CA,P0059542,11,0
T000145444,25,57,2025-10-28,52447.9,debit,wire,CA,P0020522,9,0
T000146440,25,57,2025-10-28,18.83,debit,pos,CA,P0033011,14,0
T000147028,25,57,2025-10-28,292.12,debit,pos,CA,P0005156,17,0
T000150877,25,59,2025-10-30,330.15,debit,pos,CA,P0000727,7,0
T000162446,25,63,2025-11-03,34.27,debit,emt,CA,P0008372,20,0
T000170411,25,66,2025-11-06,26.09,credit,pos,CA,P0015246,16,0
T000171434,25,67,2025-11-07,303.66,debit,emt,CA,P0028925,7,0
T000172126,25,67,2025-11-07,181.2,debit,cash,CA,P0038928,10,0
T000172673,25,67,2025-11-07,69.33,debit,pos,CA,P0000325,13,0
T000178500,25,70,2025-11-10,28.95,debit,pos,CA,P0043216,13,0
T000181585,25,71,2025-11-11,129.6,debit,cash,CA,P0027647,14,0
T000181787,25,71,2025-11-11,50.14,debit,emt,CA,P0035193,14,0
T000186862,25,73,2025-11-13,260.71,debit,pos,CA,P0015131,10,0
T000189621,25,74,2025-11-14,18.8,credit,pos,CA,P0026148,9,0
T000189937,25,74,2025-11-14,38.76,credit,pos,CA,P0052771,11,0
T000198521,25,78,2025-11-18,62.49,debit,cash,CA,P0032299,8,0
T000206072,25,80,2025-11-20,54.67,debit,pos,CA,P0007057,16,0
T000218245,25,85,2025-11-25,257.72,debit,emt,CA,P0030972,16,0
T000221267,25,86,2025-11-26,41.71,credit,preauth,CA,P0055447,15,0
T000221867,25,86,2025-11-26,140.09,debit,cash,CA,P0020781,18,0
T000224438,25,87,2025-11-27,8.04,debit,cash,CA,P0021676,17,0
T000228895,25,89,2025-11-29,6.17,credit,pos,CA,P0002945,11,0
T000233417,25,91,2025-12-01,51.97,debit,pos,CA,P0048559,15,0
T000240135,25,93,2025-12-03,10.91,debit,emt,CA,P0057994,18,0
T000245919,25,95,2025-12-05,65.62,debit,pos,CA,P0049102,17,0
T000254570,25,99,2025-12-09,12.04,debit,pos,CA,P0057162,13,0
T000256800,25,100,2025-12-10,164.55,debit,pos,NL,P0025387,9,0
T000270485,25,105,2025-12-15,243.77,debit,preauth,CA,P0059481,15,0
T000276690,25,107,2025-12-17,69.85,debit,pos,CA,P0005427,15,0
T000279807,25,108,2025-12-18,111.58,debit,pos,CA,P0046813,15,0
T000279900,25,108,2025-12-18,9.12,debit,pos,CA,P0001045,15,0
T000291420,25,113,2025-12-23,131.41,debit,wire,CA,P0032513,10,0
T000303688,25,117,2025-12-27,49.04,debit,wire,NL,P0010565,14,0
T000307945,25,119,2025-12-29,191.01,credit,pos,CA,P0020885,15,0
T000314349,25,121,2025-12-31,100.8,debit,pos,CA,P0001100,16,0
T000324251,25,125,2026-01-04,141.4,debit,wire,CA,P0004932,16,0
T000324868,25,126,2026-01-05,164.4,debit,pos,CA,P0059470,8,0
T000328402,25,127,2026-01-06,119.45,debit,cash,CA,P0047734,9,0
T000331926,25,128,2026-01-07,125.38,debit,preauth,CA,P0054446,11,0
T000337269,25,130,2026-01-09,23.37,debit,pos,CA,P0018510,7,0
T000337395,25,130,2026-01-09,138.55,debit,emt,CA,P0052869,8,0
T000349914,25,135,2026-01-14,52.4,credit,pos,CA,P0030200,7,0
T000355820,25,137,2026-01-16,150.2,debit,emt,CA,P0019474,7,0
T000359923,25,138,2026-01-17,109.67,debit,wire,CA,P0051600,15,0
T000360699,25,139,2026-01-18,49.96,debit,preauth,CA,P0022935,8,0
T000372520,25,143,2026-01-22,781.38,debit,pos,CA,P0056537,11,0
T000375474,25,144,2026-01-23,83.66,debit,emt,CA,P0053236,11,0
T000376298,25,144,2026-01-23,59.22,debit,pos,CA,P0046565,14,0
T000376853,25,144,2026-01-23,502.56,debit,pos,CA,P0030108,17,0
T000378920,25,145,2026-01-24,52.55,debit,wire,CA,P0004792,17,0
T000381509,25,147,2026-01-26,405.78,credit,pos,CA,P0023460,9,0
T000387756,25,149,2026-01-28,92.42,debit,preauth,CA,P0056123,10,0
T000388638,25,149,2026-01-28,18.52,credit,cash,CA,P0021660,14,0
T000413717,25,158,2026-02-06,37.38,credit,emt,XB,P0026361,16,1
T000415949,25,159,2026-02-07,5.0,credit,preauth,CA,P0023185,18,0
T000419492,25,161,2026-02-09,286.02,debit,emt,CA,P0017093,14,0
T000420191,25,161,2026-02-09,107.67,debit,pos,CA,P0017395,18,0
T000422591,25,162,2026-02-10,74.32,credit,cash,CA,P0020662,15,0
T000426558,25,163,2026-02-11,103.21,debit,emt,CA,P0021601,20,0
T000427073,25,164,2026-02-12,96.85,debit,pos,CA,P0039076,9,0
T000428723,25,164,2026-02-12,425.26,debit,pos,CA,P0007741,16,0
T000429766,25,165,2026-02-13,38.19,debit,emt,CA,P0052061,7,0
T000430984,25,165,2026-02-13,43.25,debit,emt,CA,P0050095,13,0
T000430998,25,165,2026-02-13,11.82,debit,emt,CA,P0022912,13,0
T000431900,25,165,2026-02-13,90.44,debit,emt,CA,P0010100,17,0
T000455408,25,175,2026-02-23,230.73,credit,emt,CA,P0055438,19,0
T000463269,25,178,2026-02-26,53.19,debit,pos,CA,P0015565,16,0
T000465019,25,179,2026-02-27,22.61,debit,pos,CA,P0055844,11,0
T000465029,25,179,2026-02-27,23.29,debit,pos,CA,P0016933,11,0
T000466254,25,179,2026-02-27,408.75,debit,pos,CA,P0005000,17,0
T000014221,63,4,2025-09-05,180.68,debit,preauth,CA,P0008683,20,0
T000023499,63,9,2025-09-10,36.78,debit,emt,CA,P0012304,9,0
T000028240,63,10,2025-09-11,56.91,debit,pos,CA,P0028713,18,0
T000032229,63,12,2025-09-13,10000.0,debit,emt,CA,P0020364,12,0
T000040592,63,16,2025-09-17,674.67,debit,cash,CA,P0010403,7,0
T000045100,63,17,2025-09-18,29.01,debit,cash,US,P0034016,15,0
T000048608,63,18,2025-09-19,35.84,debit,pos,CA,P0004995,17,0
T000050400,63,19,2025-09-20,10000.0,debit,emt,CA,P0020364,16,0
T000051926,63,20,2025-09-21,71.01,debit,emt,CA,P0004567,15,0
T000057470,63,22,2025-09-23,37.52,debit,pos,CA,P0023367,17,0
T000059855,63,23,2025-09-24,32.22,credit,emt,CA,P0003503,14,0
T000066333,63,25,2025-09-26,52.88,credit,cash,CA,P0003442,17,0
T000071628,63,28,2025-09-29,10000.0,debit,wire,CA,P0020364,14,0
T000071629,63,28,2025-09-29,28393.33,credit,cheque,CA,P0037987,14,0
T000077974,63,30,2025-10-01,27466.43,debit,wire,CA,P0035255,16,0
T000078234,63,30,2025-10-01,117.81,debit,pos,CA,P0008343,17,0
T000082620,63,32,2025-10-03,200.26,debit,pos,CA,P0049912,10,0
T000086039,63,33,2025-10-04,10000.0,debit,emt,CA,P0020364,16,0
T000096246,63,37,2025-10-08,1500.38,debit,pos,CA,P0017524,17,0
T000099244,63,38,2025-10-09,395.99,debit,cash,CA,P0043964,18,0
T000103980,63,40,2025-10-11,10000.0,debit,wire,CA,P0020364,16,0
T000111683,63,43,2025-10-14,203.73,credit,cash,CA,P0030360,18,0
T000113221,63,44,2025-10-15,746.1,debit,cheque,CA,P0000663,12,0
T000115793,63,45,2025-10-16,506.74,debit,preauth,CA,P0006590,10,0
T000122256,63,47,2025-10-18,10000.0,debit,emt,CA,P0020364,17,0
T000128179,63,50,2025-10-21,208.64,debit,emt,CA,P0033060,12,0
T000139818,63,54,2025-10-25,69.33,debit,pos,CA,P0048984,16,0
T000142455,63,56,2025-10-27,421.03,debit,preauth,CA,P0029485,9,0
T000143368,63,56,2025-10-27,498.53,debit,pos,CA,P0044512,13,0
T000144094,63,56,2025-10-27,56.66,debit,pos,CA,P0053117,16,0
T000146791,63,57,2025-10-28,50.8,debit,emt,CA,P0057894,15,0
T000159314,63,62,2025-11-02,807.2,debit,pos,CA,P0023344,17,0
T000168837,63,66,2025-11-06,101.11,debit,pos,CA,P0015807,9,0
T000171282,63,66,2025-11-06,80.82,debit,pos,CA,P0022261,20,0
T000174455,63,68,2025-11-08,100.3,debit,pos,CA,P0025950,9,0
T000176780,63,69,2025-11-09,270.47,credit,pos,CA,P0036443,16,0
T000181564,63,71,2025-11-11,106.67,credit,preauth,CA,P0010824,13,0
T000186275,63,73,2025-11-13,4335.39,credit,wire,CA,P0019299,7,0
T000189250,63,74,2025-11-14,277.95,credit,pos,CA,P0029270,8,0
T000197232,63,77,2025-11-17,338.53,credit,pos,CA,P0058064,16,0
T000200080,63,78,2025-11-18,97.43,credit,emt,CA,P0040918,16,0
T000205008,63,80,2025-11-20,239.03,debit,emt,CA,P0009626,11,0
T000206750,63,80,2025-11-20,96.12,credit,pos,CA,P0016713,19,0
T000206763,63,80,2025-11-20,983.72,debit,pos,CA,P0050227,19,0
T000207751,63,81,2025-11-21,692.71,debit,pos,CA,P0001359,10,0
T000213582,63,84,2025-11-24,169.55,credit,emt,CA,P0019551,8,0
T000221485,63,86,2025-11-26,681.5,debit,wire,US,P0009861,17,0
T000223071,63,87,2025-11-27,189199.96,credit,wire,CA,P0040976,10,0
T000226759,63,88,2025-11-28,162721.47,debit,cheque,CA,P0049739,13,0
T000230514,63,90,2025-11-30,600.58,debit,pos,CA,P0043095,12,0
T000234045,63,91,2025-12-01,60.27,debit,pos,CA,P0047335,18,0
T000243865,63,95,2025-12-05,18.78,debit,cheque,CA,P0012147,8,0
T000244744,63,95,2025-12-05,383.04,credit,cheque,CA,P0017904,12,0
T000245227,63,95,2025-12-05,37.05,debit,preauth,AU,P0010420,14,0
T000249940,63,97,2025-12-07,169.8,debit,emt,CA,P0049559,19,0
T000254872,63,99,2025-12-09,353.25,debit,pos,CA,P0024970,14,0
T000256516,63,100,2025-12-10,55.79,debit,emt,CA,P0024535,8,0
T000259555,63,101,2025-12-11,57.6,debit,cash,CA,P0037186,8,0
T000263957,63,102,2025-12-12,525.34,debit,pos,CA,P0056274,15,0
T000265269,63,103,2025-12-13,403.52,debit,pos,CA,P0038530,8,0
T000276077,63,107,2025-12-17,242.62,debit,pos,CA,P0046070,12,0
T000281825,63,109,2025-12-19,40.81,debit,emt,CA,P0056062,10,0
T000299465,63,115,2025-12-25,1403.62,debit,cash,CA,P0039887,19,0
T000306525,63,119,2025-12-29,25528.06,credit,wire,CA,P0037280,9,0
T000308028,63,119,2025-12-29,1788.07,debit,cash,CA,P0011850,15,0
T000308125,63,119,2025-12-29,6119.78,debit,cheque,CA,P0012981,16,0
T000310010,63,120,2025-12-30,5459.59,debit,cheque,CA,P0050400,10,0
T000313622,63,121,2025-12-31,4583.31,debit,emt,CA,P0017198,13,0
T000314354,63,121,2025-12-31,478.1,debit,cash,CA,P0031190,16,0
T000317291,63,122,2026-01-01,57.99,debit,cash,CA,P0039519,15,0
T000317541,63,122,2026-01-01,7.15,debit,pos,CA,P0002394,17,0
T000336179,63,129,2026-01-08,111.84,debit,pos,CA,P0033631,16,0
T000336399,63,129,2026-01-08,53.92,debit,emt,CA,P0038367,17,0
T000337188,63,130,2026-01-09,93.16,credit,pos,CA,P0037966,7,0
T000344798,63,133,2026-01-12,219.9,debit,preauth,CA,P0042225,12,0
T000355209,63,136,2026-01-15,150.76,debit,pos,CA,P0028465,18,0
T000358671,63,137,2026-01-16,151.79,debit,emt,CA,P0056505,20,0
T000363093,63,140,2026-01-19,355.02,credit,pos,CA,P0017330,10,0
T000365069,63,140,2026-01-19,133.75,debit,cheque,CA,P0040352,19,0
T000370007,63,142,2026-01-21,114.05,debit,preauth,CA,P0004557,14,0
T000370012,63,142,2026-01-21,15.12,debit,cheque,CA,P0031788,14,0
T000385103,63,148,2026-01-27,174.15,debit,emt,CA,P0003386,12,0
T000391513,63,150,2026-01-29,92.23,debit,pos,CA,P0000915,13,0
T000392311,63,150,2026-01-29,75.74,credit,wire,CA,P0024585,16,0
T000396204,63,151,2026-01-30,17.98,debit,emt,CA,P0000496,20,0
T000403783,63,155,2026-02-03,967.2,credit,emt,CA,P0011104,11,0
T000426471,63,163,2026-02-11,4304.89,debit,pos,CA,P0053576,20,0
T000429923,63,165,2026-02-13,798.49,debit,pos,CA,P0056176,8,0
T000451383,63,174,2026-02-22,119.85,credit,pos,CA,P0040000,8,0
T000458733,63,177,2026-02-25,151.92,credit,pos,CA,P0044726,8,0
T000464715,63,179,2026-02-27,113.18,debit,pos,CA,P0039474,10,0
T000001740,72,0,2025-09-01,3216.69,credit,emt,CA,P0025628,15,0
T000002557,72,0,2025-09-01,4041.36,debit,cheque,CA,P0013565,19,0
T000005318,72,1,2025-09-02,7835.45,credit,pos,CA,P0056787,18,0
T000006899,72,2,2025-09-03,11087.34,debit,pos,CA,P0022836,12,0
T000008519,72,3,2025-09-04,2849.36,debit,pos,CA,P0034634,7,0
T000009355,72,3,2025-09-04,606.85,credit,emt,CA,P0022000,10,0
T000011463,72,3,2025-09-04,3902.34,debit,pos,CA,P0014299,20,0
T000011718,72,4,2025-09-05,5411.97,credit,pos,CA,P0021660,8,0
T000013647,72,4,2025-09-05,716.43,debit,pos,CA,P0016415,17,0
T000013955,72,4,2025-09-05,945.9,debit,preauth,CA,P0039439,19,0
T000017238,72,6,2025-09-07,6133.69,debit,cheque,CA,P0042412,20,0
T000017838,72,7,2025-09-08,3527.76,credit,pos,CA,P0001363,9,0
T000021596,72,8,2025-09-09,951.39,credit,cheque,CA,P0049625,14,0
T000023310,72,9,2025-09-10,2779.52,debit,cheque,CA,P0016878,8,0
T000034127,72,13,2025-09-14,1984.36,debit,preauth,CA,P0016232,16,0
T000035485,72,14,2025-09-15,8058.06,credit,cheque,CA,P0058206,11,0
T000039245,72,15,2025-09-16,434.23,credit,cheque,CA,P0022028,14,0
T000039577,72,15,2025-09-16,906.43,credit,emt,CA,P0027826,16,0
T000042769,72,16,2025-09-17,474.37,debit,wire,US,P0012250,17,0
T000044985,72,17,2025-09-18,1626.28,credit,wire,CA,P0049865,14,0
T000048847,72,18,2025-09-19,1860.37,debit,emt,CA,P0006973,18,0
T000058161,72,22,2025-09-23,289.31,debit,cheque,CA,P0059519,20,0
T000060457,72,23,2025-09-24,2719.49,debit,pos,CA,P0006035,17,0
T000060528,72,23,2025-09-24,5689.32,credit,cheque,CA,P0012342,17,0
T000060647,72,23,2025-09-24,1883.48,credit,pos,CA,P0026605,18,0
T000062341,72,24,2025-09-25,348.19,credit,pos,CA,P0024309,12,0
T000072201,72,28,2025-09-29,309.38,credit,emt,CA,P0051843,17,0
T000082868,72,32,2025-10-03,1424.34,debit,cheque,CA,P0028180,11,0
T000083466,72,32,2025-10-03,1343.17,debit,wire,FR,P0012563,14,0
T000085121,72,33,2025-10-04,1110.73,debit,cheque,CA,P0032250,9,0
T000087034,72,34,2025-10-05,1986.53,credit,pos,CA,P0028507,12,0
T000102366,72,39,2025-10-10,309.07,debit,emt,CA,P0018714,18,0
T000103232,72,40,2025-10-11,1416.6,debit,emt,CA,P0039305,10,0
T000106334,72,42,2025-10-13,869.92,debit,wire,CA,P0039727,8,0
T000107146,72,42,2025-10-13,69387.84,credit,pos,CA,P0020848,11,0
T000117712,72,45,2025-10-16,10936.86,credit,emt,CA,P0058878,19,0
T000118801,72,46,2025-10-17,3490.48,debit,emt,CA,P0005564,10,0
T000122472,72,47,2025-10-18,888.83,debit,emt,CA,P0006035,19,0
T000123266,72,48,2025-10-19,2854.56,credit,pos,CA,P0034399,12,0
T000127852,72,50,2025-10-21,2476.86,credit,pos,CA,P0040980,10,0
T000127953,72,50,2025-10-21,2463.45,credit,cash,CA,P0015410,11,0
T000128944,72,50,2025-10-21,1276.75,credit,pos,CA,P0005291,15,0
T000129203,72,50,2025-10-21,4119.19,debit,wire,CA,P0016242,16,0
T000130206,72,51,2025-10-22,1708.48,debit,pos,CA,P0019008,7,0
T000133011,72,52,2025-10-23,1496.32,debit,pos,CA,P0016550,7,0
T000134021,72,52,2025-10-23,818.45,debit,emt,CA,P0015309,11,0
T000135995,72,53,2025-10-24,754.6,credit,cheque,CA,P0037250,7,0
T000136666,72,53,2025-10-24,476.74,debit,wire,CA,P0033162,10,0
T000137078,72,53,2025-10-24,1361.55,credit,cheque,CA,P0050051,12,0
T000139134,72,54,2025-10-25,8009.99,debit,pos,CA,P0053890,10,0
T000140741,72,55,2025-10-26,20310.94,credit,emt,CA,P0047589,9,0
T000142092,72,56,2025-10-27,4758.23,credit,cash,CA,P0023574,7,0
T000142367,72,56,2025-10-27,3316.82,debit,preauth,CA,P0045255,9,0
T000144446,72,56,2025-10-27,2267.98,debit,wire,CA,P0054979,18,0
T000146953,72,57,2025-10-28,7788.38,debit,cash,CA,P0003240,16,0
T000149558,72,58,2025-10-29,585.93,debit,pos,CA,P0000421,15,0
T000151439,72,59,2025-10-30,3660.22,credit,cheque,CA,P0015757,10,0
T000154676,72,60,2025-10-31,306.73,credit,cash,CA,P0004545,11,0
T000159930,72,63,2025-11-03,4191.35,credit,emt,CA,P0052731,8,0
T000160418,72,63,2025-11-03,2361.32,credit,pos,CA,P0058923,10,0
T000161194,72,63,2025-11-03,840.1,credit,cheque,CA,P0019967,14,0
T000161229,72,63,2025-11-03,3532.35,debit,cheque,CA,P0057418,14,0
T000162282,72,63,2025-11-03,539.85,credit,emt,CA,P0024478,19,0
T000162359,72,63,2025-11-03,2471.3,debit,pos,CA,P0025825,19,0
T000163035,72,64,2025-11-04,3892.33,debit,emt,CA,P0044151,9,0
T000168184,72,65,2025-11-05,1140.23,credit,cash,CA,P0054687,19,0
T000170154,72,66,2025-11-06,217283.63,credit,cheque,CA,P0022803,15,0
T000174755,72,68,2025-11-08,199586.15,debit,emt,CA,P0033212,12,0
T000176864,72,69,2025-11-09,453.23,debit,pos,CA,P0029109,17,0
T000178838,72,70,2025-11-10,1310.7,credit,wire,US,P0019725,14,0
T000180283,72,71,2025-11-11,4441.38,debit,pos,CA,P0027618,7,0
T000183096,72,71,2025-11-11,1499.38,debit,pos,CA,P0019213,20,0
T000184155,72,72,2025-11-12,432.96,credit,pos,CA,P0039732,11,0
T000188590,72,73,2025-11-13,294.27,credit,pos,CA,P0059770,18,0
T000188684,72,73,2025-11-13,3977.99,debit,wire,CA,P0002018,19,0
T000189161,72,74,2025-11-14,768.01,debit,pos,CA,P0046027,7,0
T000189280,72,74,2025-11-14,1719.24,credit,pos,CA,P0000827,8,0
T000192386,72,75,2025-11-15,25286.8,credit,cheque,CA,P0001704,10,0
T000192549,72,75,2025-11-15,5195.59,debit,cheque,CA,P0057480,11,0
T000193121,72,75,2025-11-15,3940.43,debit,cheque,CA,P0009448,16,0
T000195727,72,77,2025-11-17,1146.69,debit,pos,CA,P0048844,9,0
T000196339,72,77,2025-11-17,4568.8,debit,emt,CA,P0036494,12,0
T000200822,72,78,2025-11-18,3722.96,credit,pos,CA,P0007234,19,0
T000201338,72,79,2025-11-19,1873.98,credit,emt,CA,P0009927,8,0
T000201835,72,79,2025-11-19,2410.31,debit,wire,CA,P0008590,10,0
T000204487,72,80,2025-11-20,1478.84,debit,preauth,NL,P0028980,9,0
T000208195,72,81,2025-11-21,825.52,debit,cheque,CA,P0056419,12,0
T000218618,72,85,2025-11-25,2669.48,debit,preauth,CA,P0037916,17,0
T000219033,72,85,2025-11-25,57715.3,credit,pos,CA,P0036580,19,0
T000220100,72,86,2025-11-26,406.49,debit,cheque,CA,P0014109,10,0
T000224680,72,87,2025-11-27,2346.26,debit,cash,CA,P0001010,18,0
T000229027,72,89,2025-11-29,1019.45,credit,wire,CA,P0006894,13,0
T000229257,72,89,2025-11-29,42016.42,credit,cash,CA,P0056490,15,0
T000232418,72,91,2025-12-01,1056.96,credit,cash,CA,P0055456,10,0
T000234747,72,92,2025-12-02,137.68,credit,preauth,CA,P0009959,7,0
T000236465,72,92,2025-12-02,76555.74,credit,wire,CA,P0021005,15,0
T000239083,72,93,2025-12-03,32675.75,debit,wire,CA,P0051854,13,0
T000239506,72,93,2025-12-03,1109.18,credit,pos,CA,P0025440,15,0
T000241160,72,94,2025-12-04,1097.07,credit,cheque,CA,P0009529,9,0
T000242173,72,94,2025-12-04,25564.09,debit,wire,CA,P0034659,14,0
T000246094,72,95,2025-12-05,2309.56,credit,cheque,CA,P0020900,18,0
T000246350,72,95,2025-12-05,803.46,credit,pos,CA,P0037937,19,0
T000247445,72,96,2025-12-06,1009.51,debit,cash,CA,P0010413,13,0
T000249282,72,97,2025-12-07,8121.19,debit,emt,CA,P0000403,14,0
T000253352,72,99,2025-12-09,808.23,credit,emt,CA,P0056689,8,0
T000260415,72,101,2025-12-11,1467.7,credit,cheque,CA,P0017753,12,0
T000266550,72,103,2025-12-13,679.06,debit,wire,US,P0021051,18,0
T000277181,72,107,2025-12-17,689.04,debit,cheque,CA,P0059251,17,0
T000277933,72,107,2025-12-17,18353.46,credit,cheque,CA,P0047333,20,0
T000286261,72,111,2025-12-21,4917.71,credit,pos,CA,P0027286,9,0
T000289562,72,112,2025-12-22,1652.9,debit,cheque,CA,P0041693,15,0
T000297168,72,115,2025-12-25,14673.83,credit,preauth,CA,P0026117,9,0
T000297198,72,115,2025-12-25,4857.86,debit,emt,CA,P0030833,9,0
T000314102,72,121,2025-12-31,185.61,debit,pos,CA,P0029262,15,0
T000317486,72,122,2026-01-01,1313.44,credit,preauth,CA,P0002438,16,0
T000318568,72,123,2026-01-02,1321.34,debit,pos,CA,P0018775,8,0
T000318767,72,123,2026-01-02,649.97,credit,wire,CA,P0039989,9,0
T000321451,72,124,2026-01-03,2726.83,debit,wire,CA,P0021500,8,0
T000322863,72,124,2026-01-03,4297.52,credit,emt,CA,P0012456,19,0
T000323134,72,125,2026-01-04,2877.23,credit,pos,CA,P0029377,7,0
T000325462,72,126,2026-01-05,1381.72,credit,pos,US,P0021761,10,0
T000328336,72,127,2026-01-06,968.13,credit,emt,CA,P0032633,9,0
T000328582,72,127,2026-01-06,4689.12,credit,cheque,CA,P0043911,10,0
