alert_id,rule_id,customer_key,date_key,calendar_date,trigger_amount,trigger_txn_count,detail,score,score_percentile,tier,priority,split,is_true_positive,reason_1,reason_2,reason_3,top_mitigant
R001-163-20,R001,163,20,2025-09-21,26806.25,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0002102207802261,0.2849,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,7-day cash credit volume,30-day cash credit volume,cash-intensive business type
R001-239-52,R001,239,52,2025-10-23,27096.95,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.01301720016305,0.6823,T2_five_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-240-58,R001,240,58,2025-10-29,27193.840000000004,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.059083663868107,0.7995,T2_five_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-240-78,R001,240,78,2025-11-18,25389.68,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.1351684162353788,0.8524,T2_five_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-240-79,R001,240,79,2025-11-19,69743.32,8.0,"cash credits in 8k-9,999 band within 48h: 8",0.0786002499849661,0.8189,T2_five_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-317-85,R001,317,85,2025-11-25,58163.92,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.8954114288577496,0.9535,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-317-90,R001,317,90,2025-11-30,38241.71,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.8958434553089637,0.9536,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-317-91,R001,317,91,2025-12-01,46011.23,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.8871511842617396,0.9527,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-317-96,R001,317,96,2025-12-06,26033.49,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.93085181126326,0.9592,T1_same_day,review,train,0,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-317-98,R001,317,98,2025-12-08,35069.06,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.9358311511297384,0.9601,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-317-101,R001,317,101,2025-12-11,45194.03,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.9436677705436014,0.9619,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-317-106,R001,317,106,2025-12-16,26750.93,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.965098365415903,0.968,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days
R001-317-107,R001,317,107,2025-12-17,52987.61,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.9364329557825236,0.9602,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days
R001-355-88,R001,355,88,2025-11-28,27217.36,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9914516703501512,0.98,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-355-89,R001,355,89,2025-11-29,46530.83,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.9962556689017578,0.9844,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-355-94,R001,355,94,2025-12-04,52452.42,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.9941903864243428,0.9826,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-355-99,R001,355,99,2025-12-09,44625.94,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.995165258866502,0.9833,T1_same_day,review,train,1,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-355-111,R001,355,111,2025-12-21,25531.62,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9970407010578296,0.9861,T1_same_day,review,train,1,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-450-94,R001,450,94,2025-12-04,26056.22,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0170483691455193,0.7077,T2_five_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,home province BC,7-day high-risk jurisdiction count
R001-450-108,R001,450,108,2025-12-18,53519.87,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.3824246606290478,0.9054,T1_same_day,review,train,0,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-450-109,R001,450,109,2025-12-19,79598.62,9.0,"cash credits in 8k-9,999 band within 48h: 9",0.2542806635706083,0.8851,T2_five_day,review,train,0,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-450-111,R001,450,111,2025-12-21,27323.010000000002,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.253673184402388,0.885,T2_five_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-518-104,R001,518,104,2025-12-14,52832.06,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.8986109604415613,0.9541,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-518-107,R001,518,107,2025-12-17,28007.05,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.8479212718395533,0.9471,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-518-109,R001,518,109,2025-12-19,46431.34,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.8496328368630305,0.9472,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-518-117,R001,518,117,2025-12-27,64424.58,7.0,"cash credits in 8k-9,999 band within 48h: 7",0.9113416704270432,0.9563,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-518-118,R001,518,118,2025-12-28,81881.4,9.0,"cash credits in 8k-9,999 band within 48h: 9",0.908396978186173,0.9559,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-518-124,R001,518,124,2026-01-03,27315.79,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9598060839668224,0.9662,T1_same_day,review,valid,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days
R001-568-33,R001,568,33,2025-10-04,25450.42,3.0,"cash credits in 8k-9,999 band within 48h: 3",4.729645872433014e-05,0.1757,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-568-46,R001,568,46,2025-10-17,26817.57,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.000202145029261,0.2814,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-695-141,R001,695,141,2026-01-20,35388.89,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.9595809670842278,0.9661,T1_same_day,review,valid,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-695-144,R001,695,144,2026-01-23,26486.440000000002,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.961071027468156,0.9665,T1_same_day,review,valid,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-695-156,R001,695,156,2026-02-04,80822.0,9.0,"cash credits in 8k-9,999 band within 48h: 9",0.9302494282671114,0.9591,T1_same_day,review,holdout,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-720-107,R001,720,107,2025-12-17,27050.22,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.4735901574211137,0.9171,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-720-109,R001,720,109,2025-12-19,27610.510000000002,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.8399176006931816,0.946,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-720-111,R001,720,111,2025-12-21,35886.72,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.7510257054322207,0.9389,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-720-121,R001,720,121,2025-12-31,28122.32,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.788493014451236,0.9418,T1_same_day,review,valid,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-720-122,R001,720,122,2026-01-01,56922.03,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.8468234472836875,0.947,T1_same_day,review,valid,0,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-720-123,R001,720,123,2026-01-02,55382.54,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.8539246174523727,0.9479,T1_same_day,review,valid,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-720-127,R001,720,127,2026-01-06,26089.05,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.858337674360348,0.9483,T1_same_day,review,valid,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-720-129,R001,720,129,2026-01-08,27078.04,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.8645695752319924,0.9493,T1_same_day,review,valid,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-720-131,R001,720,131,2026-01-10,26340.019999999997,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.8586795179904442,0.9483,T1_same_day,review,valid,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days
R001-727-37,R001,727,37,2025-10-08,27622.309999999998,3.0,"cash credits in 8k-9,999 band within 48h: 3",4.241488093408092e-05,0.1691,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-727-40,R001,727,40,2025-10-11,28438.649999999998,3.0,"cash credits in 8k-9,999 band within 48h: 3",2.017351402607735e-05,0.1276,T3_thirty_day,deferred,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-727-50,R001,727,50,2025-10-21,42620.369999999995,5.0,"cash credits in 8k-9,999 band within 48h: 5",2.552829956268285e-06,0.0576,T3_thirty_day,deferred,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,90-day near-threshold cash deposit count,cash-intensive business type
R001-727-56,R001,727,56,2025-10-27,53625.62,6.0,"cash credits in 8k-9,999 band within 48h: 6",6.371501631205274e-06,0.0824,T3_thirty_day,deferred,train,0,90-day near-threshold cash deposit count,30-day cash credit volume,share of 30-day credits arriving as cash,count of near-threshold cash deposits in 30 days
R001-727-57,R001,727,57,2025-10-28,54432.64,6.0,"cash credits in 8k-9,999 band within 48h: 6",8.209612294985198e-06,0.0915,T3_thirty_day,deferred,train,0,90-day near-threshold cash deposit count,30-day cash credit volume,share of 30-day credits arriving as cash,count of near-threshold cash deposits in 30 days
R001-755-2,R001,755,2,2025-09-03,27935.17,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0001303872538712,0.2463,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day largest transaction,7-day high-risk jurisdiction count,cash-intensive business type
R001-755-69,R001,755,69,2025-11-09,26114.0,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0012711201999667,0.4522,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-755-96,R001,755,96,2025-12-06,36557.06,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.0012410130526323,0.4494,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-763-49,R001,763,49,2025-10-20,26745.019999999997,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0044685575551748,0.5793,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-763-166,R001,763,166,2026-02-14,25588.06,3.0,"cash credits in 8k-9,999 band within 48h: 3",4.470283053102932e-06,0.0715,T3_thirty_day,deferred,holdout,0,share of 30-day credits arriving as cash,30-day cash credit volume,90-day transaction count,cash-intensive business type
R001-776-99,R001,776,99,2025-12-09,55666.08,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.0720362884990277,0.8134,T2_five_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,occupation or business type consulting
R001-776-104,R001,776,104,2025-12-14,26512.98,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.2025055798467593,0.8742,T2_five_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-776-106,R001,776,106,2025-12-16,34927.729999999996,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.2753136445367417,0.8892,T2_five_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-776-107,R001,776,107,2025-12-17,37016.53,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.360006388592103,0.903,T1_same_day,review,train,0,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-776-113,R001,776,113,2025-12-23,35689.31,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.4432294345406534,0.9134,T1_same_day,review,train,0,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-776-115,R001,776,115,2025-12-25,35447.68,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.3856073434564367,0.906,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-776-119,R001,776,119,2025-12-29,27599.879999999997,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.3852917242991304,0.9059,T1_same_day,review,train,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-776-123,R001,776,123,2026-01-02,35871.04,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.4733594973112897,0.917,T1_same_day,review,valid,0,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-793-71,R001,793,71,2025-11-11,25625.35,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0112864562148111,0.668,T2_five_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-793-158,R001,793,158,2026-02-06,28311.120000000003,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0054654306388618,0.6002,T2_five_day,review,holdout,0,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,90-day transaction count,cash-intensive business type
R001-810-110,R001,810,110,2025-12-20,25446.21,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.4869484276846145,0.9182,T1_same_day,review,train,0,90-day total value,share of 30-day credits arriving as cash,90-day debit value,90-day wire value
R001-810-111,R001,810,111,2025-12-21,25706.45,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.7759004742275774,0.9408,T1_same_day,review,train,0,90-day total value,share of 30-day credits arriving as cash,90-day debit value,90-day wire value
R001-840-110,R001,840,110,2025-12-20,26481.22,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.002242739852629,0.5109,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,90-day transaction count,cash-intensive business type
R001-840-111,R001,840,111,2025-12-21,27367.170000000002,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.001023824521995,0.4306,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,90-day transaction count,cash-intensive business type
R001-859-99,R001,859,99,2025-12-09,28562.59,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0007714953804603,0.4008,T3_thirty_day,review,train,0,30-day cash credit volume,90-day near-threshold cash deposit count,90-day total value,cash-intensive business type
R001-868-19,R001,868,19,2025-09-20,25639.54,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.8522301179530685,0.9474,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-868-20,R001,868,20,2025-09-21,52709.92,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.9558938650216802,0.9652,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-868-23,R001,868,23,2025-09-24,26903.75,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9569256881187946,0.9655,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-868-29,R001,868,29,2025-09-30,27577.57,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9490236220380184,0.9634,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-868-30,R001,868,30,2025-10-01,52942.27,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.9418622948266764,0.9615,T1_same_day,review,train,1,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-868-32,R001,868,32,2025-10-03,25514.39,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9393735753835776,0.9607,T1_same_day,review,train,1,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-868-39,R001,868,39,2025-10-10,38303.54,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.9809029551228317,0.9742,T1_same_day,review,train,1,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-868-44,R001,868,44,2025-10-15,46699.55,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.9784193010621052,0.9728,T1_same_day,review,train,1,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-877-34,R001,877,34,2025-10-05,37486.97,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.943179628324922,0.9618,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions
R001-877-44,R001,877,44,2025-10-15,27343.45,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9691685686763954,0.9695,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-877-45,R001,877,45,2025-10-16,47028.36,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.963886996657064,0.9677,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-877-46,R001,877,46,2025-10-17,65164.86,7.0,"cash credits in 8k-9,999 band within 48h: 7",0.9615258375512972,0.9667,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-877-54,R001,877,54,2025-10-25,26155.92,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9667379514395354,0.9685,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-877-57,R001,877,57,2025-10-28,26416.47,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9719168996799684,0.9706,T1_same_day,review,train,1,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-877-59,R001,877,59,2025-10-30,36352.83,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.9480315472051192,0.9631,T1_same_day,review,train,1,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-877-60,R001,877,60,2025-10-31,43202.96,5.0,"cash credits in 8k-9,999 band within 48h: 5",0.9432471029069543,0.9618,T1_same_day,review,train,1,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-877-62,R001,877,62,2025-11-02,53399.24,6.0,"cash credits in 8k-9,999 band within 48h: 6",0.9170616830670006,0.9571,T1_same_day,review,train,1,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-901-94,R001,901,94,2025-12-04,27697.47,3.0,"cash credits in 8k-9,999 band within 48h: 3",6.925614077124013e-05,0.1991,T3_thirty_day,review,train,0,30-day cash credit volume,share of 30-day credits arriving as cash,30-day cash credit count,cash-intensive business type
R001-901-141,R001,901,141,2026-01-20,25893.29,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0010750992318713,0.435,T3_thirty_day,review,valid,0,30-day cash credit volume,90-day total value,90-day near-threshold cash deposit count,cash-intensive business type
R001-901-159,R001,901,159,2026-02-07,26059.02,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0001044890250805,0.2291,T3_thirty_day,review,holdout,0,90-day total value,90-day near-threshold cash deposit count,90-day transaction count,cash-intensive business type
R001-946-13,R001,946,13,2025-09-14,28271.309999999998,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0006878173375245,0.3893,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day largest transaction,7-day high-risk jurisdiction count,cash-intensive business type
R001-946-98,R001,946,98,2025-12-08,26541.83,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0001394007148749,0.2507,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,7-day high-risk jurisdiction count,cash-intensive business type
R001-995-91,R001,995,91,2025-12-01,26374.08,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0003965822088341,0.3399,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type
R001-995-129,R001,995,129,2026-01-08,27073.4,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0002083539181088,0.2842,T3_thirty_day,review,valid,0,7-day cash credit volume,30-day cash credit volume,90-day total value,cash-intensive business type
R001-1011-105,R001,1011,105,2025-12-15,25603.44,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0091094316789127,0.6483,T2_five_day,review,train,0,30-day cash credit volume,30-day cash credit count,share of 30-day credits arriving as cash,cash-intensive business type
R001-1015-39,R001,1015,39,2025-10-10,27061.43,3.0,"cash credits in 8k-9,999 band within 48h: 3",4.048125246830276e-05,0.1662,T3_thirty_day,review,train,0,occupation or business type auto dealer,7-day high-risk jurisdiction count,home province ON,cash-intensive business type
R001-1031-127,R001,1031,127,2026-01-06,26794.22,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9945272382822208,0.9828,T1_same_day,review,valid,1,30-day cash credit volume,30-day cash credit count,share of 30-day credits arriving as cash,cash-intensive business type
