customer_key,customer_id,customer_segment,occupation_or_business_type,is_cash_intensive_business,tenure_months,tenure_band,kyc_risk_rating,is_pep,declared_annual_income_cad,home_province,onboarding_channel
55,C000055,personal,self_employed,0,32,12-35m,medium,0,225200.0,BC,online
56,C000056,personal,student,0,17,12-35m,low,0,182200.0,ON,mobile
57,C000057,personal,student,0,6,00-11m,low,0,15800.0,ON,branch
58,C000058,personal,student,0,18,12-35m,low,0,62900.0,QC,online
59,C000059,personal,tradesperson,0,19,12-35m,medium,0,68600.0,ON,mobile
60,C000060,personal,public_sector,0,101,84m+,low,0,120300.0,BC,online
61,C000061,personal,public_sector,0,109,84m+,low,0,153700.0,ON,online
62,C000062,personal,self_employed,0,95,84m+,low,0,350500.0,MB,online
63,C000063,personal,self_employed,0,65,36-83m,low,0,50000.0,QC,online
64,C000064,personal,healthcare_worker,0,122,84m+,low,0,67000.0,QC,branch
65,C000065,personal,tradesperson,0,91,84m+,low,0,143900.0,AB,branch
66,C000066,personal,healthcare_worker,0,81,36-83m,low,0,27500.0,QC,mobile
67,C000067,personal,salaried_employee,0,41,36-83m,medium,0,48000.0,BC,online
68,C000068,personal,public_sector,0,20,12-35m,medium,0,46500.0,ON,online
69,C000069,personal,retired,0,45,36-83m,low,0,61900.0,ON,online
70,C000070,personal,public_sector,0,64,36-83m,low,0,43900.0,AB,online
71,C000071,business,auto_dealer,1,80,36-83m,low,0,711500.0,ON,mobile
72,C000072,business,money_services,0,137,84m+,high,0,1106900.0,AB,branch
73,C000073,business,money_services,0,33,12-35m,medium,0,276200.0,BC,mobile
74,C000074,personal,retired,0,71,36-83m,medium,0,98400.0,ON,branch
75,C000075,business,auto_dealer,1,43,36-83m,low,1,210600.0,MB,mobile
76,C000076,business,consulting,0,19,12-35m,low,0,438700.0,BC,online
77,C000077,personal,healthcare_worker,0,62,36-83m,medium,0,91900.0,MB,online
78,C000078,personal,retired,0,63,36-83m,medium,0,86400.0,ON,branch
79,C000079,personal,public_sector,0,79,36-83m,low,0,164000.0,ON,online
80,C000080,business,money_services,0,43,36-83m,low,0,593200.0,BC,branch
81,C000081,business,construction,0,71,36-83m,low,0,101500.0,ON,branch
82,C000082,personal,self_employed,0,39,36-83m,low,0,32600.0,MB,broker
83,C000083,personal,student,0,53,36-83m,low,0,56300.0,QC,branch
84,C000084,personal,self_employed,0,72,36-83m,low,0,53700.0,AB,online
85,C000085,business,import_export,0,23,12-35m,low,0,388500.0,ON,branch
86,C000086,business,convenience_retail,1,35,12-35m,medium,0,103200.0,AB,online
87,C000087,personal,retired,0,51,36-83m,medium,0,95700.0,ON,branch
88,C000088,personal,salaried_employee,0,100,84m+,medium,0,17300.0,ON,branch
89,C000089,personal,self_employed,0,353,84m+,low,1,65600.0,AB,mobile
90,C000090,personal,salaried_employee,0,25,12-35m,medium,0,158700.0,QC,branch
91,C000091,personal,tradesperson,0,31,12-35m,low,0,79400.0,AB,branch
92,C000092,business,salon,1,135,84m+,low,0,217900.0,ON,mobile
93,C000093,business,construction,0,125,84m+,medium,0,481100.0,NS,broker
94,C000094,personal,self_employed,0,58,36-83m,low,0,27900.0,ON,online
95,C000095,business,convenience_retail,1,6,00-11m,low,0,338000.0,ON,online
96,C000096,personal,healthcare_worker,0,48,36-83m,low,0,69600.0,ON,online
97,C000097,personal,student,0,91,84m+,low,0,69300.0,QC,online
98,C000098,personal,tradesperson,0,13,12-35m,low,0,62100.0,AB,mobile
99,C000099,personal,tradesperson,0,112,84m+,high,0,39200.0,BC,branch
100,C000100,personal,retired,0,13,12-35m,low,0,104800.0,BC,branch
101,C000101,personal,retired,0,47,36-83m,low,0,48500.0,BC,branch
102,C000102,personal,self_employed,0,35,12-35m,low,0,60400.0,ON,online
103,C000103,business,convenience_retail,1,127,84m+,low,0,1774200.0,QC,branch
104,C000104,personal,retired,0,24,12-35m,low,0,99600.0,QC,branch
105,C000105,personal,tradesperson,0,71,36-83m,low,0,80400.0,BC,online
106,C000106,personal,self_employed,0,20,12-35m,low,0,47800.0,AB,branch
107,C000107,personal,salaried_employee,0,28,12-35m,low,0,67400.0,ON,mobile
108,C000108,personal,healthcare_worker,0,187,84m+,low,0,67800.0,SK,broker
109,C000109,business,logistics,0,39,36-83m,low,0,155500.0,BC,branch
110,C000110,personal,retired,0,52,36-83m,high,0,79600.0,ON,mobile
111,C000111,business,restaurant,1,16,12-35m,low,0,1982300.0,QC,online
112,C000112,personal,student,0,30,12-35m,medium,0,54500.0,NS,mobile
113,C000113,business,import_export,0,16,12-35m,low,0,155100.0,QC,branch
114,C000114,personal,student,0,95,84m+,low,0,70500.0,AB,branch
115,C000115,business,auto_dealer,1,84,84m+,low,0,224600.0,QC,branch
116,C000116,personal,tradesperson,0,90,84m+,low,0,184200.0,BC,broker
117,C000117,business,convenience_retail,1,37,36-83m,low,0,468000.0,ON,mobile
118,C000118,business,money_services,0,37,36-83m,low,0,75000.0,NS,online
119,C000119,personal,salaried_employee,0,19,12-35m,low,0,69200.0,AB,branch
120,C000120,personal,public_sector,0,38,36-83m,low,0,57800.0,ON,mobile
121,C000121,personal,student,0,39,36-83m,low,0,28800.0,AB,mobile
122,C000122,personal,tradesperson,0,16,12-35m,low,0,54500.0,QC,branch
123,C000123,personal,healthcare_worker,0,55,36-83m,medium,0,19100.0,AB,mobile
124,C000124,personal,student,0,52,36-83m,medium,0,38600.0,ON,mobile
125,C000125,personal,tradesperson,0,190,84m+,medium,0,120900.0,ON,online
126,C000126,personal,student,0,57,36-83m,low,0,27200.0,NS,online
127,C000127,business,salon,1,55,36-83m,low,0,282100.0,QC,branch
128,C000128,personal,self_employed,0,92,84m+,medium,0,81800.0,MB,mobile
129,C000129,business,convenience_retail,1,92,84m+,high,0,1375300.0,ON,online
130,C000130,personal,student,0,91,84m+,low,0,56900.0,ON,branch
131,C000131,personal,self_employed,0,57,36-83m,low,0,16200.0,AB,online
132,C000132,personal,retired,0,46,36-83m,low,0,98000.0,MB,branch
133,C000133,personal,self_employed,0,39,36-83m,low,0,88900.0,AB,branch
134,C000134,personal,self_employed,0,17,12-35m,medium,0,35000.0,BC,mobile
135,C000135,business,import_export,0,28,12-35m,low,0,145800.0,ON,mobile
136,C000136,personal,salaried_employee,0,115,84m+,low,0,49400.0,MB,branch
137,C000137,personal,student,0,40,36-83m,low,0,74700.0,AB,branch
138,C000138,personal,public_sector,0,68,36-83m,low,0,66800.0,QC,broker
139,C000139,personal,student,0,117,84m+,low,0,99500.0,QC,mobile
140,C000140,personal,self_employed,0,12,12-35m,low,0,40500.0,ON,online
141,C000141,personal,healthcare_worker,0,36,36-83m,medium,0,37100.0,AB,online
142,C000142,business,import_export,0,110,84m+,low,0,174000.0,ON,online
143,C000143,business,auto_dealer,1,253,84m+,high,0,109800.0,BC,mobile
144,C000144,business,logistics,0,105,84m+,low,0,947500.0,AB,branch
145,C000145,personal,salaried_employee,0,25,12-35m,low,0,86100.0,BC,online
146,C000146,business,construction,0,38,36-83m,low,0,318200.0,ON,online
147,C000147,personal,student,0,111,84m+,medium,0,69600.0,ON,branch
148,C000148,personal,tradesperson,0,76,36-83m,low,0,19400.0,BC,online
149,C000149,business,auto_dealer,1,18,12-35m,low,0,143200.0,QC,branch
150,C000150,personal,salaried_employee,0,98,84m+,low,0,146600.0,NS,mobile
151,C000151,personal,self_employed,0,60,36-83m,medium,0,303300.0,BC,mobile
152,C000152,personal,student,0,14,12-35m,low,0,132400.0,QC,branch
153,C000153,personal,tradesperson,0,40,36-83m,medium,0,92600.0,ON,online
154,C000154,business,restaurant,1,50,36-83m,medium,0,202300.0,ON,online
155,C000155,personal,self_employed,0,31,12-35m,low,0,99200.0,QC,broker
156,C000156,personal,public_sector,0,6,00-11m,low,0,71100.0,QC,branch
157,C000157,business,consulting,0,42,36-83m,low,0,258400.0,ON,online
158,C000158,personal,retired,0,31,12-35m,low,0,39600.0,QC,online
159,C000159,personal,tradesperson,0,32,12-35m,medium,0,63800.0,BC,online
160,C000160,personal,self_employed,0,27,12-35m,high,0,138200.0,QC,branch
161,C000161,personal,public_sector,0,54,36-83m,low,0,66300.0,ON,broker
162,C000162,personal,public_sector,0,124,84m+,low,0,39800.0,QC,branch
163,C000163,business,restaurant,1,203,84m+,low,0,466900.0,SK,mobile
164,C000164,business,import_export,0,76,36-83m,low,0,70300.0,QC,branch
165,C000165,personal,salaried_employee,0,70,36-83m,low,0,61800.0,AB,mobile
166,C000166,personal,salaried_employee,0,56,36-83m,medium,0,62100.0,QC,online
167,C000167,personal,tradesperson,0,77,36-83m,medium,0,57300.0,ON,branch
168,C000168,personal,healthcare_worker,0,30,12-35m,low,0,111400.0,ON,branch
169,C000169,personal,healthcare_worker,0,38,36-83m,medium,0,31000.0,BC,online
170,C000170,personal,self_employed,0,19,12-35m,low,0,45600.0,ON,branch
171,C000171,personal,self_employed,0,11,00-11m,low,0,111000.0,QC,mobile
172,C000172,business,consulting,0,73,36-83m,low,0,149600.0,QC,branch
173,C000173,personal,self_employed,0,49,36-83m,low,0,35400.0,AB,branch
174,C000174,personal,tradesperson,0,63,36-83m,low,0,134000.0,ON,branch
175,C000175,business,logistics,0,69,36-83m,low,0,224200.0,ON,branch
176,C000176,personal,student,0,44,36-83m,medium,0,41100.0,BC,branch
177,C000177,personal,self_employed,0,87,84m+,low,0,75800.0,AB,online
178,C000178,personal,tradesperson,0,93,84m+,low,0,118500.0,ON,broker
179,C000179,business,import_export,0,61,36-83m,low,0,220200.0,AB,branch
180,C000180,personal,tradesperson,0,35,12-35m,low,0,25700.0,ON,mobile
181,C000181,business,import_export,0,118,84m+,medium,0,705700.0,ON,online
182,C000182,personal,healthcare_worker,0,27,12-35m,medium,0,70700.0,ON,online
183,C000183,business,logistics,0,63,36-83m,low,0,82300.0,BC,branch
184,C000184,personal,healthcare_worker,0,10,00-11m,low,0,17100.0,QC,mobile
185,C000185,business,construction,0,70,36-83m,high,0,378200.0,ON,mobile
186,C000186,personal,student,0,97,84m+,low,0,72700.0,QC,mobile
187,C000187,personal,public_sector,0,50,36-83m,low,0,28500.0,ON,online
188,C000188,personal,public_sector,0,28,12-35m,medium,0,102400.0,ON,online
189,C000189,personal,public_sector,0,28,12-35m,medium,0,82600.0,BC,branch
190,C000190,personal,retired,0,37,36-83m,low,0,69200.0,QC,branch
191,C000191,business,money_services,0,30,12-35m,low,0,251700.0,AB,mobile
192,C000192,business,construction,0,138,84m+,high,0,229300.0,AB,mobile
193,C000193,personal,retired,0,135,84m+,low,0,139000.0,ON,online
194,C000194,personal,retired,0,28,12-35m,medium,0,95500.0,QC,mobile
195,C000195,personal,salaried_employee,0,55,36-83m,low,0,74400.0,ON,online
196,C000196,business,salon,1,88,84m+,medium,0,610800.0,ON,mobile
197,C000197,personal,student,0,53,36-83m,medium,0,77800.0,QC,mobile
198,C000198,personal,healthcare_worker,0,126,84m+,low,0,228500.0,ON,branch
199,C000199,personal,student,0,32,12-35m,low,0,28000.0,AB,mobile
200,C000200,personal,salaried_employee,0,7,00-11m,low,0,70300.0,ON,branch
201,C000201,personal,self_employed,0,15,12-35m,low,0,89200.0,ON,online
202,C000202,personal,salaried_employee,0,20,12-35m,low,0,27000.0,MB,broker
203,C000203,personal,salaried_employee,0,26,12-35m,low,0,34900.0,QC,mobile
204,C000204,personal,public_sector,0,113,84m+,medium,0,187800.0,QC,branch
205,C000205,personal,healthcare_worker,0,29,12-35m,low,0,35500.0,ON,mobile
206,C000206,personal,healthcare_worker,0,31,12-35m,high,0,39600.0,MB,mobile
207,C000207,personal,student,0,177,84m+,low,0,74500.0,ON,online
208,C000208,personal,public_sector,0,78,36-83m,medium,0,48900.0,NS,branch
209,C000209,business,import_export,0,147,84m+,medium,0,698200.0,QC,branch
210,C000210,business,salon,1,176,84m+,low,0,195200.0,ON,branch
211,C000211,personal,self_employed,0,67,36-83m,medium,0,66100.0,ON,mobile
212,C000212,personal,self_employed,0,23,12-35m,medium,0,25300.0,BC,online
213,C000213,business,money_services,0,55,36-83m,low,0,319800.0,ON,broker
214,C000214,personal,self_employed,0,21,12-35m,low,0,190200.0,ON,branch
215,C000215,personal,salaried_employee,0,42,36-83m,low,0,33400.0,ON,online
216,C000216,personal,self_employed,0,48,36-83m,medium,0,97000.0,ON,mobile
217,C000217,personal,tradesperson,0,52,36-83m,low,0,48800.0,AB,branch
218,C000218,personal,self_employed,0,67,36-83m,medium,0,47700.0,BC,mobile
219,C000219,personal,salaried_employee,0,6,00-11m,low,0,27500.0,AB,online
220,C000220,personal,retired,0,67,36-83m,low,0,37600.0,QC,mobile
221,C000221,personal,salaried_employee,0,56,36-83m,low,0,77600.0,ON,branch
222,C000222,personal,retired,0,56,36-83m,low,0,141800.0,BC,broker
223,C000223,personal,self_employed,0,78,36-83m,low,0,87600.0,ON,branch
224,C000224,personal,student,0,71,36-83m,low,0,102800.0,ON,mobile
225,C000225,business,logistics,0,36,36-83m,medium,0,298300.0,ON,online
226,C000226,personal,tradesperson,0,12,12-35m,high,0,26600.0,AB,broker
227,C000227,personal,retired,0,117,84m+,medium,0,87600.0,QC,mobile
228,C000228,personal,self_employed,0,32,12-35m,low,0,68400.0,ON,online
229,C000229,business,logistics,0,95,84m+,high,0,149600.0,QC,mobile
230,C000230,personal,student,0,19,12-35m,low,0,65800.0,ON,branch
231,C000231,business,convenience_retail,1,120,84m+,low,0,319800.0,BC,online
232,C000232,business,import_export,0,128,84m+,low,0,563800.0,AB,online
233,C000233,business,money_services,0,46,36-83m,medium,0,356100.0,ON,branch
234,C000234,personal,tradesperson,0,74,36-83m,medium,0,25600.0,QC,branch
235,C000235,business,money_services,0,63,36-83m,medium,0,154800.0,BC,mobile
236,C000236,personal,public_sector,0,36,36-83m,low,0,88800.0,BC,mobile
237,C000237,personal,self_employed,0,11,00-11m,low,0,230200.0,ON,branch
238,C000238,personal,salaried_employee,0,90,84m+,high,0,52700.0,ON,branch
239,C000239,business,restaurant,1,82,36-83m,medium,0,307000.0,ON,branch
240,C000240,personal,public_sector,0,69,36-83m,low,0,82400.0,ON,mobile
241,C000241,personal,self_employed,0,25,12-35m,medium,0,108200.0,ON,broker
242,C000242,personal,public_sector,0,29,12-35m,low,0,71300.0,AB,branch
243,C000243,business,import_export,0,44,36-83m,low,0,965400.0,ON,mobile
244,C000244,personal,public_sector,0,101,84m+,low,0,100000.0,QC,online
245,C000245,personal,self_employed,0,38,36-83m,low,0,79300.0,QC,branch
246,C000246,personal,salaried_employee,0,32,12-35m,low,0,45300.0,BC,online
247,C000247,personal,retired,0,121,84m+,medium,0,117800.0,ON,branch
248,C000248,personal,retired,0,51,36-83m,low,0,33400.0,ON,online
249,C000249,personal,tradesperson,0,13,12-35m,low,0,58800.0,QC,mobile
250,C000250,business,logistics,0,94,84m+,low,0,497300.0,QC,branch
251,C000251,personal,student,0,39,36-83m,low,0,117100.0,ON,online
252,C000252,personal,student,0,193,84m+,low,0,82900.0,ON,mobile
253,C000253,personal,self_employed,0,26,12-35m,low,0,80100.0,ON,branch
254,C000254,personal,public_sector,0,151,84m+,low,0,40100.0,MB,branch
255,C000255,personal,self_employed,0,85,84m+,low,0,40600.0,ON,branch
256,C000256,business,construction,0,43,36-83m,low,0,81800.0,ON,online
257,C000257,personal,tradesperson,0,22,12-35m,low,0,26300.0,MB,mobile
258,C000258,personal,self_employed,0,43,36-83m,low,0,19000.0,ON,online
259,C000259,personal,self_employed,0,12,12-35m,low,0,64700.0,ON,online
260,C000260,business,money_services,0,80,36-83m,medium,0,1390800.0,AB,online
261,C000261,personal,public_sector,0,46,36-83m,low,0,115800.0,QC,branch
262,C000262,business,import_export,0,36,36-83m,low,0,321900.0,ON,mobile
263,C000263,personal,salaried_employee,0,47,36-83m,low,0,65500.0,ON,branch
264,C000264,personal,self_employed,0,17,12-35m,low,0,36800.0,BC,mobile
265,C000265,personal,healthcare_worker,0,57,36-83m,low,0,73700.0,QC,mobile
266,C000266,personal,tradesperson,0,119,84m+,medium,0,73900.0,ON,broker
267,C000267,personal,healthcare_worker,0,6,00-11m,low,0,63900.0,AB,online
268,C000268,personal,tradesperson,0,34,12-35m,high,0,42400.0,MB,online
269,C000269,personal,self_employed,0,33,12-35m,low,0,78500.0,MB,online
270,C000270,personal,public_sector,0,15,12-35m,medium,0,30700.0,ON,branch
271,C000271,personal,healthcare_worker,0,28,12-35m,low,0,42400.0,AB,online
272,C000272,personal,self_employed,0,96,84m+,low,0,91000.0,NS,mobile
273,C000273,personal,self_employed,0,160,84m+,low,0,33000.0,BC,online
274,C000274,personal,self_employed,0,23,12-35m,medium,0,79300.0,BC,online
275,C000275,personal,healthcare_worker,0,27,12-35m,medium,0,21400.0,ON,branch
276,C000276,personal,public_sector,0,19,12-35m,low,0,110200.0,ON,mobile
277,C000277,personal,student,0,25,12-35m,low,0,40100.0,ON,online
278,C000278,business,construction,0,141,84m+,low,1,409200.0,AB,online
279,C000279,personal,tradesperson,0,172,84m+,low,0,177800.0,ON,branch
280,C000280,business,construction,0,5,00-11m,low,0,239800.0,QC,branch
281,C000281,business,restaurant,1,81,36-83m,medium,0,498800.0,BC,mobile
282,C000282,personal,healthcare_worker,0,86,84m+,medium,0,90300.0,ON,branch
283,C000283,personal,healthcare_worker,0,45,36-83m,medium,0,130000.0,ON,branch
284,C000284,business,construction,0,114,84m+,low,0,627600.0,ON,mobile
285,C000285,personal,tradesperson,0,95,84m+,low,0,84800.0,AB,branch
286,C000286,personal,healthcare_worker,0,39,36-83m,medium,0,66700.0,ON,mobile
287,C000287,personal,self_employed,0,102,84m+,low,0,52200.0,BC,online
288,C000288,personal,healthcare_worker,0,50,36-83m,low,0,22500.0,BC,branch
289,C000289,personal,healthcare_worker,0,73,36-83m,low,0,64800.0,QC,mobile
290,C000290,personal,tradesperson,0,113,84m+,low,0,101900.0,AB,branch
291,C000291,personal,tradesperson,0,82,36-83m,medium,0,47700.0,ON,broker
292,C000292,personal,retired,0,54,36-83m,medium,0,39800.0,ON,mobile
293,C000293,business,construction,0,107,84m+,low,0,872500.0,AB,online
294,C000294,personal,healthcare_worker,0,118,84m+,medium,0,65200.0,QC,branch
295,C000295,business,consulting,0,73,36-83m,low,0,344500.0,QC,branch
296,C000296,personal,salaried_employee,0,128,84m+,low,0,45400.0,AB,mobile
297,C000297,personal,healthcare_worker,0,52,36-83m,low,0,83600.0,ON,mobile
298,C000298,business,import_export,0,155,84m+,low,0,91400.0,QC,online
299,C000299,personal,retired,0,27,12-35m,high,0,103700.0,ON,online
300,C000300,personal,retired,0,123,84m+,low,0,86500.0,BC,branch
301,C000301,personal,tradesperson,0,59,36-83m,medium,0,101100.0,QC,branch
302,C000302,personal,tradesperson,0,37,36-83m,low,0,66500.0,BC,branch
303,C000303,personal,retired,0,22,12-35m,low,0,102900.0,ON,mobile
304,C000304,personal,retired,0,88,84m+,low,0,40600.0,AB,branch
305,C000305,personal,retired,0,123,84m+,low,0,64400.0,ON,branch
306,C000306,personal,retired,0,13,12-35m,low,0,79300.0,ON,online
307,C000307,personal,salaried_employee,0,67,36-83m,low,0,60400.0,QC,online
308,C000308,personal,tradesperson,0,64,36-83m,medium,0,47800.0,ON,online
309,C000309,business,money_services,0,100,84m+,low,0,428400.0,BC,branch
310,C000310,personal,retired,0,44,36-83m,medium,1,82800.0,QC,online
311,C000311,personal,public_sector,0,48,36-83m,low,0,104300.0,ON,branch
312,C000312,personal,self_employed,0,24,12-35m,low,0,115400.0,QC,mobile
313,C000313,personal,self_employed,0,77,36-83m,low,0,53200.0,QC,mobile
314,C000314,personal,self_employed,0,143,84m+,medium,0,90600.0,ON,branch
315,C000315,personal,retired,0,103,84m+,medium,0,121600.0,ON,branch
316,C000316,personal,student,0,143,84m+,low,0,141800.0,ON,mobile
317,C000317,personal,retired,0,24,12-35m,low,0,49900.0,BC,branch
318,C000318,personal,healthcare_worker,0,116,84m+,low,0,35900.0,AB,online
319,C000319,personal,salaried_employee,0,64,36-83m,medium,0,114400.0,BC,online
320,C000320,personal,student,0,61,36-83m,low,0,41400.0,QC,branch
321,C000321,personal,tradesperson,0,141,84m+,low,0,86300.0,MB,branch
322,C000322,business,consulting,0,119,84m+,low,0,141800.0,ON,branch
323,C000323,personal,tradesperson,0,68,36-83m,low,0,41000.0,ON,branch
324,C000324,personal,tradesperson,0,88,84m+,low,0,66600.0,MB,branch
325,C000325,personal,self_employed,0,30,12-35m,low,0,28900.0,MB,mobile
326,C000326,personal,tradesperson,0,152,84m+,low,0,21500.0,ON,branch
327,C000327,personal,tradesperson,0,85,84m+,low,0,27400.0,BC,mobile
328,C000328,business,logistics,0,83,36-83m,medium,0,1052700.0,ON,online
329,C000329,business,restaurant,1,65,36-83m,low,0,228600.0,QC,online
330,C000330,personal,public_sector,0,40,36-83m,low,0,86300.0,ON,online
331,C000331,business,import_export,0,76,36-83m,low,0,554300.0,ON,mobile
332,C000332,personal,tradesperson,0,48,36-83m,medium,0,35200.0,AB,branch
333,C000333,personal,salaried_employee,0,43,36-83m,low,0,78500.0,ON,online
334,C000334,personal,healthcare_worker,0,17,12-35m,low,0,68000.0,ON,online
335,C000335,business,salon,1,3,00-11m,low,0,420500.0,SK,online
336,C000336,personal,healthcare_worker,0,8,00-11m,medium,0,69700.0,AB,branch
337,C000337,personal,salaried_employee,0,66,36-83m,low,0,81000.0,ON,branch
338,C000338,personal,healthcare_worker,0,93,84m+,low,0,102400.0,QC,online
339,C000339,personal,tradesperson,0,41,36-83m,low,0,148300.0,MB,mobile
340,C000340,personal,public_sector,0,58,36-83m,low,0,52600.0,BC,online
341,C000341,personal,tradesperson,0,81,36-83m,low,0,72400.0,ON,branch
342,C000342,personal,tradesperson,0,85,84m+,medium,0,40400.0,BC,branch
343,C000343,personal,self_employed,0,42,36-83m,low,0,69700.0,BC,branch
344,C000344,business,convenience_retail,1,39,36-83m,low,0,317700.0,ON,mobile
345,C000345,personal,tradesperson,0,18,12-35m,medium,0,74600.0,ON,branch
346,C000346,personal,student,0,25,12-35m,medium,0,25100.0,AB,branch
347,C000347,personal,retired,0,56,36-83m,low,0,79300.0,QC,online
348,C000348,personal,self_employed,0,25,12-35m,medium,0,83900.0,ON,branch
349,C000349,business,auto_dealer,1,72,36-83m,low,0,656900.0,MB,online
350,C000350,personal,student,0,31,12-35m,low,1,29900.0,QC,broker
351,C000351,personal,salaried_employee,0,29,12-35m,low,0,57800.0,QC,branch
352,C000352,personal,tradesperson,0,59,36-83m,low,0,72900.0,ON,online
353,C000353,personal,self_employed,0,152,84m+,low,0,70800.0,ON,branch
354,C000354,personal,public_sector,0,77,36-83m,low,0,54400.0,AB,branch
355,C000355,personal,student,0,53,36-83m,high,0,31200.0,ON,branch
356,C000356,business,money_services,0,83,36-83m,medium,0,223400.0,SK,online
357,C000357,personal,student,0,12,12-35m,low,0,162700.0,ON,mobile
358,C000358,personal,retired,0,36,36-83m,high,0,24100.0,QC,mobile
359,C000359,personal,public_sector,0,74,36-83m,medium,0,54700.0,ON,online
360,C000360,personal,salaried_employee,0,40,36-83m,low,0,56100.0,QC,mobile
361,C000361,personal,student,0,55,36-83m,medium,0,23600.0,ON,mobile
362,C000362,business,construction,0,71,36-83m,medium,0,989700.0,ON,online
363,C000363,personal,public_sector,0,11,00-11m,high,0,39600.0,ON,mobile
364,C000364,personal,self_employed,0,44,36-83m,low,0,87200.0,ON,mobile
365,C000365,personal,salaried_employee,0,42,36-83m,low,0,29900.0,QC,mobile
366,C000366,business,construction,0,50,36-83m,medium,0,690600.0,ON,online
